excluded_case_index,fit_succeeded,singular,contrast,scale,estimate,standard_error,conf_low,conf_high,z_ratio,p_value,p_value_holm,full_estimate,change_from_full_estimate
8,TRUE,FALSE,Grounding vs Control,probability,0.2996980956020079,0.060070383118208885,0.18196230815279563,0.41743388305122014,4.989115767952571,6.065629055717523e-7,1.819688716715257e-6,0.3042312530924953,-0.004533157490487438
8,TRUE,FALSE,Grounding vs Thematic,probability,0.17168231972204007,0.05753438518536571,0.058916996886068454,0.2844476425580117,2.983995034776329,0.002845113886302744,0.005690227772605488,0.17178085615984195,-9.853643780188825e-5
8,TRUE,FALSE,Thematic vs Control,probability,0.12801577587996793,0.059971337386031595,0.010474114498645562,0.2455574372612903,2.1346159925688952,0.03279239003484369,0.03279239003484369,0.13245039693265348,-0.00443462105268555
9,TRUE,FALSE,Grounding vs Control,log_odds,1.5448379451102228,0.2683428899982647,1.0188955452062305,2.070780345014215,5.756955010509921,8.564472401020694e-9,2.569341720306208e-8,1.546483993463893,-0.0016460483536702153
9,TRUE,FALSE,Grounding vs Thematic,log_odds,0.987736294317849,0.2688149798785786,0.4608686152509758,1.5146039733847223,3.674409420055389,2.3840019812939716e-4,4.768003962587943e-4,0.987969539535548,-2.33245217698963e-4
9,TRUE,FALSE,Thematic vs Control,log_odds,0.5571016507923737,0.25069391776104366,0.06575060083748208,1.0484527007472653,2.2222384003882842,0.02626719861021587,0.02626719861021587,0.5585144539283451,-0.0014128031359713633
9,TRUE,FALSE,Grounding vs Control,probability,0.3037100813183199,0.06013261826818426,0.18585231521658346,0.4215678474200563,5.0506711675817835,4.4026039999096737e-7,1.320781199972902e-6,0.3042312530924953,-5.211717741754329e-4
9,TRUE,FALSE,Grounding vs Thematic,probability,0.17173136263889466,0.05757265363340459,0.058891035023022606,0.2845716902547667,2.9828634221448036,0.0028556539447691836,0.005711307889538367,0.17178085615984195,-4.9493520947296865e-5
9,TRUE,FALSE,Thematic vs Control,probability,0.13197871867942523,0.06000344541548325,0.01437412671676308,0.24958331064208739,2.1995190070430444,0.02784103914650384,0.02784103914650384,0.13245039693265348,-4.716782532282471e-4
10,TRUE,FALSE,Grounding vs Control,log_odds,1.562227928936852,0.2686252901714533,1.035732034864182,2.0887238230095218,5.815639800480964,6.040240723865431e-9,1.8120722171596293e-8,1.546483993463893,0.015743935472958936
