repetition,fit_succeeded,singular,contrast,estimate,scale
41,TRUE,FALSE,Thematic vs Control,0.16809437703502866,probability
42,TRUE,FALSE,Grounding vs Control,1.9702085395672377,log_odds
42,TRUE,FALSE,Grounding vs Thematic,1.7284425372483576,log_odds
42,TRUE,FALSE,Thematic vs Control,0.24176600231888012,log_odds
42,TRUE,FALSE,Grounding vs Control,0.3882342480989127,probability
42,TRUE,FALSE,Grounding vs Thematic,0.3316681167346744,probability
42,TRUE,FALSE,Thematic vs Control,0.056566131364238326,probability
43,TRUE,FALSE,Grounding vs Control,1.3195289133731822,log_odds
43,TRUE,FALSE,Grounding vs Thematic,0.5837971206648842,log_odds
43,TRUE,FALSE,Thematic vs Control,0.735731792708298,log_odds
43,TRUE,FALSE,Grounding vs Control,0.27071844704738673,probability
43,TRUE,FALSE,Grounding vs Thematic,0.09257710962410931,probability
43,TRUE,FALSE,Thematic vs Control,0.17814133742327742,probability
44,TRUE,FALSE,Grounding vs Control,1.926130052380135,log_odds
44,TRUE,FALSE,Grounding vs Thematic,1.2320486182021133,log_odds
44,TRUE,FALSE,Thematic vs Control,0.6940814341780217,log_odds
44,TRUE,FALSE,Grounding vs Control,0.350170547593461,probability
44,TRUE,FALSE,Grounding vs Thematic,0.1819031878409576,probability
44,TRUE,FALSE,Thematic vs Control,0.1682673597525034,probability
45,TRUE,FALSE,Grounding vs Control,1.6075484455760871,log_odds
45,TRUE,FALSE,Grounding vs Thematic,0.7968612431709354,log_odds
45,TRUE,FALSE,Thematic vs Control,0.8106872024051517,log_odds
45,TRUE,FALSE,Grounding vs Control,0.26928943184548365,probability
45,TRUE,FALSE,Grounding vs Thematic,0.12303698178135886,probability
45,TRUE,FALSE,Thematic vs Control,0.1462524500641248,probability
46,TRUE,FALSE,Grounding vs Control,1.9025689571812874,log_odds
46,TRUE,FALSE,Grounding vs Thematic,1.3539522042728573,log_odds
46,TRUE,FALSE,Thematic vs Control,0.54861675290843,log_odds
46,TRUE,FALSE,Grounding vs Control,0.37810690580808226,probability
46,TRUE,FALSE,Grounding vs Thematic,0.24713928834235604,probability
46,TRUE,FALSE,Thematic vs Control,0.13096761746572622,probability
47,TRUE,FALSE,Grounding vs Control,0.8260651988687424,log_odds
47,TRUE,FALSE,Grounding vs Thematic,0.28343239031810086,log_odds
47,TRUE,FALSE,Thematic vs Control,0.5426328085506416,log_odds
47,TRUE,FALSE,Grounding vs Control,0.1618799731213545,probability
47,TRUE,FALSE,Grounding vs Thematic,0.03970528852019123,probability
47,TRUE,FALSE,Thematic vs Control,0.12217468460116326,probability
48,TRUE,FALSE,Grounding vs Control,2.086260968955449,log_odds
48,TRUE,FALSE,Grounding vs Thematic,1.0658390722438877,log_odds
48,TRUE,FALSE,Thematic vs Control,1.0204218967115612,log_odds
48,TRUE,FALSE,Grounding vs Control,0.42069792027238323,probability
48,TRUE,FALSE,Grounding vs Thematic,0.17876614655979328,probability
48,TRUE,FALSE,Thematic vs Control,0.24193177371258995,probability
49,TRUE,FALSE,Grounding vs Control,2.2847200497873548,log_odds
49,TRUE,FALSE,Grounding vs Thematic,1.4394735208018798,log_odds
49,TRUE,FALSE,Thematic vs Control,0.8452465289854749,log_odds
49,TRUE,FALSE,Grounding vs Control,0.4416521050593946,probability
49,TRUE,FALSE,Grounding vs Thematic,0.2365823515686477,probability
49,TRUE,FALSE,Thematic vs Control,0.2050697534907469,probability
50,TRUE,FALSE,Grounding vs Control,1.6550776699329262,log_odds
50,TRUE,FALSE,Grounding vs Thematic,0.7397383929649533,log_odds
50,TRUE,FALSE,Thematic vs Control,0.9153392769679729,log_odds
50,TRUE,FALSE,Grounding vs Control,0.36357710553142997,probability
50,TRUE,FALSE,Grounding vs Thematic,0.1585314693712605,probability
50,TRUE,FALSE,Thematic vs Control,0.20504563616016946,probability
51,TRUE,FALSE,Grounding vs Control,1.763342600714695,log_odds
51,TRUE,FALSE,Grounding vs Thematic,1.242956024438963,log_odds
51,TRUE,FALSE,Thematic vs Control,0.520386576275732,log_odds
51,TRUE,FALSE,Grounding vs Control,0.3465753533754959,probability
51,TRUE,FALSE,Grounding vs Thematic,0.2191381596985698,probability
51,TRUE,FALSE,Thematic vs Control,0.12743719367692607,probability
52,TRUE,FALSE,Grounding vs Control,1.945488835628759,log_odds
52,TRUE,FALSE,Grounding vs Thematic,1.4026225883022503,log_odds
52,TRUE,FALSE,Thematic vs Control,0.5428662473265087,log_odds
52,TRUE,FALSE,Grounding vs Control,0.3992767067829116,probability
52,TRUE,FALSE,Grounding vs Thematic,0.26367622717844125,probability
52,TRUE,FALSE,Thematic vs Control,0.13560047960447036,probability
53,TRUE,FALSE,Grounding vs Control,2.0574393462722624,log_odds
53,TRUE,FALSE,Grounding vs Thematic,0.6395491825258179,log_odds
53,TRUE,FALSE,Thematic vs Control,1.4178901637464443,log_odds
53,TRUE,FALSE,Grounding vs Control,0.4357011855719644,probability
53,TRUE,FALSE,Grounding vs Thematic,0.10215565556294237,probability
53,TRUE,FALSE,Thematic vs Control,0.33354553000902204,probability
54,TRUE,FALSE,Grounding vs Control,1.858496325531422,log_odds
54,TRUE,FALSE,Grounding vs Thematic,0.9337266958062489,log_odds
54,TRUE,FALSE,Thematic vs Control,0.9247696297251732,log_odds
54,TRUE,FALSE,Grounding vs Control,0.4070136343507132,probability
54,TRUE,FALSE,Grounding vs Thematic,0.18753515615275962,probability
54,TRUE,FALSE,Thematic vs Control,0.21947847819795357,probability
55,TRUE,FALSE,Grounding vs Control,1.7583019158947084,log_odds
55,TRUE,FALSE,Grounding vs Thematic,0.9791819885867419,log_odds
55,TRUE,FALSE,Thematic vs Control,0.7791199273079666,log_odds
55,TRUE,FALSE,Grounding vs Control,0.3715030452553206,probability
55,TRUE,FALSE,Grounding vs Thematic,0.18828004288452438,probability
55,TRUE,FALSE,Thematic vs Control,0.1832230023707962,probability
56,TRUE,FALSE,Grounding vs Control,1.680312635684216,log_odds
